Unnamed: 0,building_id,meter,timestamp,meter_reading,site_id,primary_use,square_feet,year_built,floor_count,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed,weekday,hour,month
1993,1298,0,1.45161E+18,6.0334916,14,0,12.04991579,,,5.184,,1.522,-0.54,1022,175.8,3.03,4,0,1
1994,1298,1,1.45161E+18,7.5987153,14,0,12.04991579,,,5.246,,1.586,-0.5415,1022,175.5,3.023,4,0,1
1995,1298,2,1.45161E+18,7.7561913,14,0,12.04991579,,,5.31,,1.649,-0.543,1022,175.1,3.02,4,0,1
1996,1298,3,1.45161E+18,0,14,0,12.04991579,,,5.37,,1.713,-0.5444,1022,174.8,3.014,4,0,1
4286,1298,0,1.45161E+18,6.01522,14,0,12.04991579,,,5.6,0,-0.6,0,1019.5,300,2.6,4,1,1
4287,1298,1,1.45161E+18,7.650911,14,0,12.04991579,,,5.6,0,-0.6,0,1019.5,300,2.6,4,1,1
4288,1298,2,1.45161E+18,7.9216914,14,0,12.04991579,,,5.6,0,-0.6,0,1019.5,300,2.6,4,1,1
4289,1298,3,1.45161E+18,4.388415,14,0,12.04991579,,,5.6,0,-0.6,0,1019.5,300,2.6,4,1,1
6585,1298,0,1.45161E+18,6.023622,14,0,12.04991579,,,5.6,4,-0.6,0,1019.5,300,2.6,4,2,1
6586,1298,1,1.45161E+18,7.5424094,14,0,12.04991579,,,5.6,4,-0.6,0,1019.5,300,2.6,4,2,1
6587,1298,2,1.45161E+18,7.8498387,14,0,12.04991579,,,5.6,4,-0.6,0,1019.5,300,2.6,4,2,1
6588,1298,3,1.45161E+18,0,14,0,12.04991579,,,5.6,4,-0.6,0,1019.5,300,2.6,4,2,1
8881,1298,0,1.45162E+18,5.9764853,14,0,12.04991579,,,5.6,1.25,-1.1,0,1019.5,289.5,1.5,4,3,1
8882,1298,1,1.45162E+18,7.5552406,14,0,12.04991579,,,5.6,1.25,-1.1,0,1019.5,289.5,1.5,4,3,1
8883,1298,2,1.45162E+18,7.9394937,14,0,12.04991579,,,5.6,1.25,-1.1,0,1019.5,289.5,1.5,4,3,1
8884,1298,3,1.45162E+18,0,14,0,12.04991579,,,5.6,1.25,-1.1,0,1019.5,289.5,1.5,4,3,1
11177,1298,0,1.45162E+18,6.005168,14,0,12.04991579,,,5,1.25,-2.2,0,1019,290,3.1,4,4,1
11178,1298,1,1.45162E+18,7.5408444,14,0,12.04991579,,,5,1.25,-2.2,0,1019,290,3.1,4,4,1
11179,1298,2,1.45162E+18,7.8719406,14,0,12.04991579,,,5,1.25,-2.2,0,1019,290,3.1,4,4,1
11180,1298,3,1.45162E+18,4.8975186,14,0,12.04991579,,,5,1.25,-2.2,0,1019,290,3.1,4,4,1
13471,1298,0,1.45162E+18,6.011206,14,0,12.04991579,,,4.4,1.25,-2.2,0,1019,300,4.1,4,5,1
13472,1298,1,1.45162E+18,7.4393244,14,0,12.04991579,,,4.4,1.25,-2.2,0,1019,300,4.1,4,5,1
13473,1298,2,1.45162E+18,8.02234,14,0,12.04991579,,,4.4,1.25,-2.2,0,1019,300,4.1,4,5,1
13474,1298,3,1.45162E+18,4.3248305,14,0,12.04991579,,,4.4,1.25,-2.2,0,1019,300,4.1,4,5,1
15765,1298,0,1.45163E+18,6.001113,14,0,12.04991579,,,4.4,1.25,-2.8,0,1018.5,300,2.6,4,6,1
15766,1298,1,1.45163E+18,7.5669317,14,0,12.04991579,,,4.4,1.25,-2.8,0,1018.5,300,2.6,4,6,1
15767,1298,2,1.45163E+18,8.045996,14,0,12.04991579,,,4.4,1.25,-2.8,0,1018.5,300,2.6,4,6,1
15768,1298,3,1.45163E+18,4.6469646,14,0,12.04991579,,,4.4,1.25,-2.8,0,1018.5,300,2.6,4,6,1
